
B1,rājayogam,yoginā,vidyopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,svātmārāmo,ādinātha,śābarā,śuddha,buddhaś ca,pauraṇḍakaḥ,surānandaḥ,siddha,pādaś ca,,carppaṭiḥ,pūrva,dhvaninātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇī,bhālukā,prabhāvataḥ,saṃsāra,tāpa,samāśrayo,haṭho mataḥ,jagatām,ādhāraḥ,kamaṭho,haṭhaḥ,,pīṭhakāṃ,yataṃ,liptavimalaṃ,niḥśeṣaṃ,jantohiṃtam,vedikūparacitaṃ,evaṃ sadābhyaset,ṣaḍbhir yogaḥ,vinaśyati,niścayādvairyyāt,jñānāc ca niścalāt,yogaś ca sidhyati,kuryāt tad āsanaṃ,tasmād,pāṭavaṃ,kathyante,pādatalāv ubhau,pracakṣate,'pi,gomukhākṛtiḥ
B2,rājayogam,yoginā,vidyaḥ pradiśyate,rājayogam,ajānatā,kṛpākaraḥ,svātmārāmo,śrīādinātha,śāmbarā,siddho,buddhaś ca,pauraṇḍaṅka,sarānanda,siddha,pādaś ca,,carppaṭiḥ,pūjya,nityanātho,kākacaṇḍīśvaro mayaḥ,ciṃcinīḥ,vāsukī,prabhāvataḥ,saṃsāra,tāpa,samāśraya,māṭhe haṭhaḥ,jagatām,ādhāra,kamaṭhe,haṭhaḥ,,piṭhikāṃ,yataṃ,liptavimalaṃ,niḥśeṣa,bādhaudditam,vedikūparacitaṃ,evaṃ sadābhyaset,ṣaḍbhir yogaḥ,vinaśyati,niścayādvairyyāt,jñānārthadarśanāt,yogaḥ prasidhyati,tat kuryād āsana,sthairyam,pāṭavaṃ,kathyante,pādatalāv ubhau,pracakṣate,tu,gomukhaṃ tathā
B3,rājayogam,yoginā,yogopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭiḥ,pūrva,dhvaninātho,kākacaṇḍīśvarādayaḥ,ṭhiṇṭhiṇīḥ,bhānukā,prabhāvataḥ,saṃsāra,tāpa,āśrayo yaṃ,haṭho mataḥ,jagatām,ādhāraḥ,kamaṭho,haṭhaḥ,yuktāhāravihāreṇa haṭhayogaḥ prasiddhaye//,puṭakaṃ,yutaṃ,liptavimalaṃ,niḥśeṣa,jantojjhitam,vedikoparacitaṃ,eva sadābhyaset,ṣaḍbhir yogaḥ,vinaśyati,niścayār dvairyāt,jñātāś ca niścalāt,yogaś ca siddhati,kuryāt tad āsanaṃ,tasmād,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhākṛtiḥ
C1,rājayogam,dhīmatā,vidyopadiśyate,rājayogam,ajānataḥ,kṛpākaraḥ,svātmārāmo,śrīādinātha,śāradā,yogī,buddhaś ca,,,,,,,pūjya,nityanātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇī,bālukīr,prabhāvataḥ,saṃsāra,tāpa,samāśrayo,maṭho haṭhaḥ,yuktānām,ādhāra,kamaṭho,haṭhaḥ,,paṭikaṃ,yataṃ,liptavimalaṃ,nirdoṣa,vātodbhidaṃ,vedikūparuciraṃ,eva sadābhyaset,ṣaḍbhir yogaḥ,vinaśyati,sāhasād dhairyāt,jñānād viniścayāt,yogaḥ prasidhyati,tatkuryād āsanaṃ,sthairyam,lāghavaṃ,vakṣyante,pādatale ubhe,pracakṣate,tu,gomukhaṃ yathā
C2,rājayogam,yoginā,vidyopadiśyate,rājayogam,prajānatāṃ,kṛpākaraḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhaś ca,pauraṇṭakaḥ,surānanda,siddha,pādaś ca,,carpaṭiḥ,pūrva,dhvaninātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇīḥ,bhālukī,prabhāvataḥ,saṃsāra,tāpa,āśrayo yaṃ,haṭho mataḥ,jagatām,ādhāraḥ,kamaṭho,haraḥ,,puṭavūṃ,pataṃ,liptavimalaṃ,niḥśeṣa,jantūjjhitam,vedikūparacitaṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānāc ca niścayāt,yogaś ca sidhyati,kuryāt tad āsanaṃ,tasmād,paṭavaṃ,kathyante,pādatalāv ubhau,pracakṣate,'pi,gomukhākṛtiḥ
C3,rājayogam,yoginā,yogapradiśyate,rājayogam,ajānatam,nhmākaraḥ,svātmārāmo,ādināthāya,sāgarā,śuddha,buddhaś ca,pauraṃṭaṃka,surānandaḥ,siddha,pādaś ca,,carppaṭī,pūjya,siddhanātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇīḥ,bhālukāṃ,prabhāvataḥ,saṃsāra,śrama,āśrayo yaṃ,haṭho mataḥ,yuktānām,ādharaḥ,kamaṭho,haṭhaḥ,yuktāhāravihāreṇa haṭhayogaḥ prasiddhaye,piṭapaṃ,pitaṃ,liptamamalaṃ,niḥśeṣa,jantūjjhitam,vedikūparuciraṃ,evaṃ samabhyaset,ṣaḍbhir yogaḥ,ca naśyati,niścayād dhairyā,jñānāc ca darśanāt,yoga prasidhyati,kuryā tad āsanaṃ,tasmād,pāṭavaṃ,kathyante,pādatale ubhe,prayachate,'pi,gomukhaṃ tathā
C4,rājasaudham,dhīmatā,vidyopadiśyate,rājayogam,ajānataḥ,kṛpāparaḥ,svātmārāmo,śrīādinātha,śābarā,siddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭiḥ,pūjya,nityanātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇiḥ,bhālukī,prabhāvataḥ,saṃsāra,tāpa,śamāśraya,maṭho haṭhaḥ,jagatām,ādhāra,kamaṭho,haṭhaḥ,,piṭharaṃ,yitaṃ,liptamamalaṃ,niḥśeṣa,jantūjjhitam,,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānād viniścayāt,yogaḥ prasidhyati,kuryāt tad āsanaṃ,sthairyam,lāghavaṃ,vakṣyante,pādatale ubhe,pracakṣate,ca,gomukhaṃ yathā
C4ac,rājasaudham,dhīmatā,vidyopadiśyate,rājayogam,ajānataḥ,kṛpāparaḥ,ātmārāmo,śrīādinātha,sāvarā,siddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭī,pūjya,siddhanātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇiḥ,vālukir,prabhāvataḥ,saṃsāra,tāpa,śamāśraya,maṭho haṭhaḥ,yuktānām,ādhāra,kamaṭho,haṭhaḥ,,piṭharaṃ,yitaṃ,liptamamalaṃ,niḥśeṣa,jantūjjhitam,vedikoparacitaṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānād viniścayāt,yogaḥ prasidhyati,kuryāt tad āsanaṃ,sthairyam,lāghavaṃ,vakṣyante,pādatale ubhe,pracakṣate,ca,gomukhaṃ yathā
C4pc,rājasaudham,dhīmatā,vidyopadiśyate,rājayogam,ajānataḥ,kṛpāparaḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭi,pūjya,dhvaninātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇiḥ,bhālukir,prabhāvataḥ,saṃsāra,śrama,śamāśraya,maṭho haṭhaḥ,jātīnām,ādhāra,kamaṭho,haṭhaḥ,,piṭharaṃ,yitaṃ,liptamamalaṃ,niḥśeṣa,bādhojjhitam,vedikūparuciraṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānād viniścayāt,yogaḥ prasidhyati,kuryāt tad āsanaṃ,sthairyam,lāghavaṃ,vakṣyante,pādatale ubhe,pracakṣate,ca,gomukhaṃ yathā
C6,rājasaudham,yoginā,vidyopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhiś ca,koraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭī,pūjya,nityanātho,kākacaṇḍīśvarāhvayaḥ,ṭiṃṭaṇīḥ,bhālukī,prasādataḥ,aśeṣa,tāpa,śamāśraya,maṭho haṭhaḥ,yuktānām,ādhāra,kamaṭho,haṭhaḥ,,paṭikaṃ,yataṃ,liptamamalaṃ,niḥśeṣa,vātojjhitaṃ,vedikūparuciraṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,niyamād dhairyyāt,jñānaviniścayāt,yogaḥ prasidhyati,tat kuryād āsana,sthairyam,lāghavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,nomukhākṛtiḥ
